variable,level,description
asrs_item_13,clinical item,Numeric response to the named retained instrument item
asrs_item_14,clinical item,Numeric response to the named retained instrument item
asrs_item_15,clinical item,Numeric response to the named retained instrument item
asrs_item_16,clinical item,Numeric response to the named retained instrument item
asrs_item_17,clinical item,Numeric response to the named retained instrument item
asrs_item_18,clinical item,Numeric response to the named retained instrument item
gad7_item_01,clinical item,Numeric response to the named retained instrument item
gad7_item_02,clinical item,Numeric response to the named retained instrument item
gad7_item_03,clinical item,Numeric response to the named retained instrument item
gad7_item_04,clinical item,Numeric response to the named retained instrument item
gad7_item_05,clinical item,Numeric response to the named retained instrument item
gad7_item_06,clinical item,Numeric response to the named retained instrument item
gad7_item_07,clinical item,Numeric response to the named retained instrument item
hamd6_item_01,clinical item,Numeric response to the named retained instrument item
hamd6_item_02,clinical item,Numeric response to the named retained instrument item
hamd6_item_03,clinical item,Numeric response to the named retained instrument item
hamd6_item_04,clinical item,Numeric response to the named retained instrument item
hamd6_item_05,clinical item,Numeric response to the named retained instrument item
hamd6_item_06,clinical item,Numeric response to the named retained instrument item
trial_001_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_001_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_001_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_001_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_001_response_emotion,emotion-recognition trial,Participant response
trial_001_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_001_rt_sec,emotion-recognition trial,Response time in seconds
trial_001_face_age,emotion-recognition trial,Stimulus age category
trial_001_face_gender,emotion-recognition trial,Stimulus gender category
trial_001_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_002_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_002_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_002_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_002_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_002_response_emotion,emotion-recognition trial,Participant response
trial_002_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_002_rt_sec,emotion-recognition trial,Response time in seconds
trial_002_face_age,emotion-recognition trial,Stimulus age category
trial_002_face_gender,emotion-recognition trial,Stimulus gender category
trial_002_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_003_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_003_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_003_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_003_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_003_response_emotion,emotion-recognition trial,Participant response
trial_003_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_003_rt_sec,emotion-recognition trial,Response time in seconds
trial_003_face_age,emotion-recognition trial,Stimulus age category
trial_003_face_gender,emotion-recognition trial,Stimulus gender category
trial_003_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_004_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_004_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_004_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_004_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_004_response_emotion,emotion-recognition trial,Participant response
trial_004_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_004_rt_sec,emotion-recognition trial,Response time in seconds
trial_004_face_age,emotion-recognition trial,Stimulus age category
trial_004_face_gender,emotion-recognition trial,Stimulus gender category
trial_004_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_005_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_005_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_005_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_005_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_005_response_emotion,emotion-recognition trial,Participant response
trial_005_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_005_rt_sec,emotion-recognition trial,Response time in seconds
trial_005_face_age,emotion-recognition trial,Stimulus age category
trial_005_face_gender,emotion-recognition trial,Stimulus gender category
trial_005_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_006_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_006_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_006_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_006_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_006_response_emotion,emotion-recognition trial,Participant response
trial_006_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_006_rt_sec,emotion-recognition trial,Response time in seconds
trial_006_face_age,emotion-recognition trial,Stimulus age category
trial_006_face_gender,emotion-recognition trial,Stimulus gender category
trial_006_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_007_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_007_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_007_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_007_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_007_response_emotion,emotion-recognition trial,Participant response
trial_007_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_007_rt_sec,emotion-recognition trial,Response time in seconds
trial_007_face_age,emotion-recognition trial,Stimulus age category
trial_007_face_gender,emotion-recognition trial,Stimulus gender category
trial_007_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_008_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_008_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_008_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_008_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_008_response_emotion,emotion-recognition trial,Participant response
trial_008_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_008_rt_sec,emotion-recognition trial,Response time in seconds
trial_008_face_age,emotion-recognition trial,Stimulus age category
trial_008_face_gender,emotion-recognition trial,Stimulus gender category
trial_008_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_009_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_009_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_009_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_009_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_009_response_emotion,emotion-recognition trial,Participant response
trial_009_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_009_rt_sec,emotion-recognition trial,Response time in seconds
trial_009_face_age,emotion-recognition trial,Stimulus age category
trial_009_face_gender,emotion-recognition trial,Stimulus gender category
trial_009_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_010_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_010_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_010_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_010_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_010_response_emotion,emotion-recognition trial,Participant response
trial_010_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_010_rt_sec,emotion-recognition trial,Response time in seconds
trial_010_face_age,emotion-recognition trial,Stimulus age category
trial_010_face_gender,emotion-recognition trial,Stimulus gender category
trial_010_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_011_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_011_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_011_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_011_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_011_response_emotion,emotion-recognition trial,Participant response
trial_011_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_011_rt_sec,emotion-recognition trial,Response time in seconds
trial_011_face_age,emotion-recognition trial,Stimulus age category
trial_011_face_gender,emotion-recognition trial,Stimulus gender category
trial_011_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_012_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_012_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_012_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_012_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_012_response_emotion,emotion-recognition trial,Participant response
trial_012_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_012_rt_sec,emotion-recognition trial,Response time in seconds
trial_012_face_age,emotion-recognition trial,Stimulus age category
trial_012_face_gender,emotion-recognition trial,Stimulus gender category
trial_012_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_013_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_013_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_013_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_013_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_013_response_emotion,emotion-recognition trial,Participant response
trial_013_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_013_rt_sec,emotion-recognition trial,Response time in seconds
trial_013_face_age,emotion-recognition trial,Stimulus age category
trial_013_face_gender,emotion-recognition trial,Stimulus gender category
trial_013_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_014_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_014_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_014_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_014_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_014_response_emotion,emotion-recognition trial,Participant response
trial_014_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_014_rt_sec,emotion-recognition trial,Response time in seconds
trial_014_face_age,emotion-recognition trial,Stimulus age category
trial_014_face_gender,emotion-recognition trial,Stimulus gender category
trial_014_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_015_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_015_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_015_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_015_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_015_response_emotion,emotion-recognition trial,Participant response
trial_015_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_015_rt_sec,emotion-recognition trial,Response time in seconds
trial_015_face_age,emotion-recognition trial,Stimulus age category
trial_015_face_gender,emotion-recognition trial,Stimulus gender category
trial_015_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_016_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_016_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_016_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_016_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_016_response_emotion,emotion-recognition trial,Participant response
trial_016_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_016_rt_sec,emotion-recognition trial,Response time in seconds
trial_016_face_age,emotion-recognition trial,Stimulus age category
trial_016_face_gender,emotion-recognition trial,Stimulus gender category
trial_016_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_017_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_017_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_017_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_017_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_017_response_emotion,emotion-recognition trial,Participant response
trial_017_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_017_rt_sec,emotion-recognition trial,Response time in seconds
trial_017_face_age,emotion-recognition trial,Stimulus age category
trial_017_face_gender,emotion-recognition trial,Stimulus gender category
trial_017_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_018_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_018_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_018_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_018_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_018_response_emotion,emotion-recognition trial,Participant response
trial_018_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_018_rt_sec,emotion-recognition trial,Response time in seconds
trial_018_face_age,emotion-recognition trial,Stimulus age category
trial_018_face_gender,emotion-recognition trial,Stimulus gender category
trial_018_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_019_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_019_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_019_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_019_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_019_response_emotion,emotion-recognition trial,Participant response
trial_019_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_019_rt_sec,emotion-recognition trial,Response time in seconds
trial_019_face_age,emotion-recognition trial,Stimulus age category
trial_019_face_gender,emotion-recognition trial,Stimulus gender category
trial_019_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_020_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_020_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_020_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_020_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_020_response_emotion,emotion-recognition trial,Participant response
trial_020_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_020_rt_sec,emotion-recognition trial,Response time in seconds
trial_020_face_age,emotion-recognition trial,Stimulus age category
trial_020_face_gender,emotion-recognition trial,Stimulus gender category
trial_020_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_021_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_021_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_021_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_021_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_021_response_emotion,emotion-recognition trial,Participant response
trial_021_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_021_rt_sec,emotion-recognition trial,Response time in seconds
trial_021_face_age,emotion-recognition trial,Stimulus age category
trial_021_face_gender,emotion-recognition trial,Stimulus gender category
trial_021_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_022_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_022_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_022_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_022_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_022_response_emotion,emotion-recognition trial,Participant response
trial_022_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_022_rt_sec,emotion-recognition trial,Response time in seconds
trial_022_face_age,emotion-recognition trial,Stimulus age category
trial_022_face_gender,emotion-recognition trial,Stimulus gender category
trial_022_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_023_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_023_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_023_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_023_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_023_response_emotion,emotion-recognition trial,Participant response
trial_023_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_023_rt_sec,emotion-recognition trial,Response time in seconds
trial_023_face_age,emotion-recognition trial,Stimulus age category
trial_023_face_gender,emotion-recognition trial,Stimulus gender category
trial_023_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_024_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_024_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_024_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_024_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_024_response_emotion,emotion-recognition trial,Participant response
trial_024_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_024_rt_sec,emotion-recognition trial,Response time in seconds
trial_024_face_age,emotion-recognition trial,Stimulus age category
trial_024_face_gender,emotion-recognition trial,Stimulus gender category
trial_024_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_025_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_025_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_025_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_025_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_025_response_emotion,emotion-recognition trial,Participant response
trial_025_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_025_rt_sec,emotion-recognition trial,Response time in seconds
trial_025_face_age,emotion-recognition trial,Stimulus age category
trial_025_face_gender,emotion-recognition trial,Stimulus gender category
trial_025_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_026_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_026_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_026_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_026_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_026_response_emotion,emotion-recognition trial,Participant response
trial_026_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_026_rt_sec,emotion-recognition trial,Response time in seconds
trial_026_face_age,emotion-recognition trial,Stimulus age category
trial_026_face_gender,emotion-recognition trial,Stimulus gender category
trial_026_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_027_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_027_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_027_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_027_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_027_response_emotion,emotion-recognition trial,Participant response
trial_027_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_027_rt_sec,emotion-recognition trial,Response time in seconds
trial_027_face_age,emotion-recognition trial,Stimulus age category
trial_027_face_gender,emotion-recognition trial,Stimulus gender category
trial_027_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_028_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_028_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_028_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_028_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_028_response_emotion,emotion-recognition trial,Participant response
trial_028_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_028_rt_sec,emotion-recognition trial,Response time in seconds
trial_028_face_age,emotion-recognition trial,Stimulus age category
trial_028_face_gender,emotion-recognition trial,Stimulus gender category
trial_028_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_029_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_029_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_029_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_029_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_029_response_emotion,emotion-recognition trial,Participant response
trial_029_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_029_rt_sec,emotion-recognition trial,Response time in seconds
trial_029_face_age,emotion-recognition trial,Stimulus age category
trial_029_face_gender,emotion-recognition trial,Stimulus gender category
trial_029_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_030_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_030_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_030_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_030_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_030_response_emotion,emotion-recognition trial,Participant response
trial_030_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_030_rt_sec,emotion-recognition trial,Response time in seconds
trial_030_face_age,emotion-recognition trial,Stimulus age category
trial_030_face_gender,emotion-recognition trial,Stimulus gender category
trial_030_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_031_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_031_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_031_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_031_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_031_response_emotion,emotion-recognition trial,Participant response
trial_031_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_031_rt_sec,emotion-recognition trial,Response time in seconds
trial_031_face_age,emotion-recognition trial,Stimulus age category
trial_031_face_gender,emotion-recognition trial,Stimulus gender category
trial_031_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_032_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_032_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_032_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_032_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_032_response_emotion,emotion-recognition trial,Participant response
trial_032_correct,emotion-recognition trial,Whether the response matched the target emotion
trial_032_rt_sec,emotion-recognition trial,Response time in seconds
trial_032_face_age,emotion-recognition trial,Stimulus age category
trial_032_face_gender,emotion-recognition trial,Stimulus gender category
trial_032_face_ethnicity,emotion-recognition trial,Stimulus ethnicity label
trial_033_source,emotion-recognition trial,Stimulus source: AI or FACES
trial_033_trial_stratum,emotion-recognition trial,"Disjoint analysis stratum: FACES, AI-white, or AI-non-white"
trial_033_stimulus_id,emotion-recognition trial,Synthetic stimulus identifier linked to stimulus_manifest.csv
trial_033_target_emotion,emotion-recognition trial,Emotion intended by the stimulus
trial_033_response_emotion,emotion-recognition trial,Participant response
trial_033_correct,emotion-recognition trial,Whether the response matched the target emotion
